"Name_EN","Name_NO","Type","Class_NO","Class_EU"
"mechanical","mekanisk","large","mekanisk","primary"
"chemical","kjemisk","large","høygradig","secondary"
"biological","biologisk","large","høygradig","secondary"
"chemical-biological","kjemisk-biologisk","large","høygradig","tertiary"
"other","naturbasert/annet","large","annet","primary"
"untreated","direkte utslipp","large","ingen","none"
"sludge_seperator","slamavskillere","small","mekanisk","primary"
"sludge_seperator_w_sand_filter","sandfang","small","mekanisk","primary"
"artificial_wetland","konstruert våtmark","small","naturbasert","secondary"
"chemical","Mini renseanlegg - kjemisk","small","høygradig","secondary"
"chemical-biological","Mini renseanlegg - kjemisk-biologisk","small","høygradig","tertiary"
"biological","Mini renseanlegg - biologisk","small","høygradig","secondary"
"sludge_seperator_w_infiltration","Slamavskiller med infiltrasjon","small","mekanisk","secondary"
"sludge_seperator_w_sand_filter","Slamavskiller med sandfilter","small","mekanisk","secondary"
"sealed_blackwater_tank","Tett tank for svartvann","small","mekanisk","primary"
"biological_toilet","Biologisk totalett","small","mekanisk","primary"
"sealed_greywater_tank","Tett tank for alt avløpsvann","small","mekanisk","primary"
"sealed_blackwater_greywater_filter","Tett tank for svartvann, gråvannsfilter","small","mekanisk","primary"
"biological_toilet_greywater_filter","Biologisk tolett, gråvannsfilter","small","mekanisk","primary"
"other","Annet renseprinsipp","small","annet","primary"
"untreated","direkte utslipp","small","ingen","none"
