total,untreated,mechanical,chemical,biological,chemical-biological,other,County_Code,County_Name
1130929,NA,1099,470508,921,654992,3409,30,Viken
698013,NA,NA,3,NA,698004,6,03,Oslo
267413,NA,29,80071,700,177775,8838,34,Innlandet
378129,NA,290,252933,6557,116492,1857,38,Vestfold & Telemark
271230,NA,19425,72777,33476,145330,222,42,Agder
425704,1284,99827,3937,278684,4922,37050,11,Rogaland
503230,19696,203578,50149,89084,129163,11560,46,Vestland
215761,16481,168126,14190,653,871,15440,15,Møre & Romsdal
382996,1540,73955,138677,7134,22272,139418,50,Trøndelag
184362,29989,149124,1678,1338,1018,1215,18,Nordland
225794,23069,185334,3918,134,10199,3140,54,Troms & Finnmark
