total,untreated,sludge_seperator,biological,chemical,chemical-biological,sludge_seperator_w_infiltration,sludge_seperator_w_sand_filter,sealed_blackwater_tank,biological_toilet,sealed_greywater_tank,artificial_wetland,sealed_blackwater_greywater_filter,biological_toilet_greywater_filter,other,County_Code,County_Name
116241,324,35460,988,1247,30228,28888,4327,4059,2363,2193,281,4601,487,795,30,Viken
1922,NA,NA,NA,NA,361,205,18,NA,NA,32,2,1025,59,220,03,Oslo
115405,625,9220,79,152,2249,83565,2347,3027,111,1101,2,10304,84,2539,34,Innlandet
56006,486,23448,651,241,4126,16842,5787,1373,30,765,70,1712,3,472,38,Vestfold & Telemark
44078,966,12808,657,260,3500,21214,1810,672,355,1189,48,476,93,30,42,Agder
39826,710,28792,396,322,1573,5820,1446,84,58,269,192,59,23,82,11,Rogaland
136615,4175,77984,838,125,5075,30956,16106,883,149,282,17,2,NA,23,46,Vestland
56287,2031,38161,205,106,259,9667,1739,146,39,743,690,328,82,2091,15,Møre & Romsdal
83191,1135,35156,723,222,1617,21082,16736,1063,192,489,61,96,24,4595,50,Trøndelag
72218,6617,45178,613,120,162,14982,4041,143,2,129,89,7,NA,135,18,Nordland
54533,5598,26944,71,NA,313,19751,127,84,NA,67,22,61,35,1460,54,Troms & Finnmark
